model_name,interpretability,dataset_version,Accuracy,Precision,Recall,F1_Score,ROC_AUC,interpretability_score
SVC_RBF,Bad,1.0.0,0.956140350877193,0.9111111111111111,0.9761904761904762,0.9425287356321839,,0
RandomForest,Bad,1.1.0,0.956140350877193,0.9111111111111111,0.9761904761904762,0.9425287356321839,0.9894179894179894,0
HistGradientBoosting,Bad,1.1.0,0.956140350877193,0.9111111111111111,0.9761904761904762,0.9425287356321839,0.9880952380952381,0
ExtraTrees,Bad,1.2.0,0.956140350877193,0.9111111111111111,0.9761904761904762,0.9425287356321839,0.9867724867724867,0
HistGradientBoosting,Bad,1.2.0,0.956140350877193,0.9111111111111111,0.9761904761904762,0.9425287356321839,0.982142857142857,0
ExtraTrees,Bad,1.3.0,0.956140350877193,0.9111111111111111,0.9761904761904762,0.9425287356321839,0.9846230158730159,0
BaggingClassifier,Bad,1.3.0,0.956140350877193,0.9302325581395349,0.9523809523809523,0.9411764705882353,0.9742063492063492,0
GradientBoosting,Bad,1.3.0,0.956140350877193,0.9302325581395349,0.9523809523809523,0.9411764705882353,0.9738756613756613,0
BaggingClassifier,Bad,1.1.0,0.9473684210526315,0.8913043478260869,0.9761904761904762,0.9318181818181818,0.9799933862433863,0
SVC_RBF,Bad,1.3.0,0.9473684210526315,0.8913043478260869,0.9761904761904762,0.9318181818181818,,0
HistGradientBoosting,Bad,1.3.0,0.9473684210526315,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9811507936507936,0
SVC_RBF,Bad,1.1.0,0.9385964912280702,0.8723404255319149,0.9761904761904762,0.9213483146067416,,0
BaggingClassifier,Bad,1.2.0,0.9385964912280702,0.8723404255319149,0.9761904761904762,0.9213483146067416,0.9735449735449736,0
SVC_RBF,Bad,1.2.0,0.9385964912280702,0.8723404255319149,0.9761904761904762,0.9213483146067416,,0
BaggingClassifier,Bad,1.0.0,0.9385964912280702,0.8888888888888888,0.9523809523809523,0.9195402298850575,0.9728835978835979,0
GradientBoosting,Bad,1.2.0,0.9385964912280702,0.8888888888888888,0.9523809523809523,0.9195402298850575,0.9756944444444443,0
QuadraticDiscriminantAnalysis,Bad,1.3.0,0.9122807017543859,0.8333333333333334,0.9523809523809523,0.8888888888888888,0.9874338624338624,0
SVC_Poly,Bad,1.1.0,0.9210526315789473,1.0,0.7857142857142857,0.88,,0
SVC_Poly,Bad,1.2.0,0.9210526315789473,1.0,0.7857142857142857,0.88,,0
SVC_Poly,Bad,1.0.0,0.9122807017543859,1.0,0.7619047619047619,0.8648648648648649,,0
SVC_Poly,Bad,1.3.0,0.8859649122807017,1.0,0.6904761904761905,0.8169014084507042,,0
